店家,門市,日期,品名,售價,促銷,活動內容,冰箱,冰箱排,冰箱總排,大堆頭
7-11,成達店,2026-05-20,經典原味 200ml,16,否,,是,7,7,否
7-11,成達店,2026-05-20,經典原味 330ml,25,否,,是,7,7,否
7-11,成達店,2026-05-20,經典原味 435ml,29,是,第二件6折,是,3,6,否
7-11,成達店,2026-05-20,經典原味 600ml,35,是,2件49元,是,4,7,否
7-11,成達店,2026-05-20,經典原味 920ml,45,是,特價36元,是,7,7,否
7-11,成達店,2026-05-20,經典原味 2L,60,否,,是,7,7,否
7-11,成達店,2026-05-20,Zero Sugar 600ml,35,是,2件49元,是,4,7,否
7-11,成達店,2026-05-20,纖維+ 600ml,35,是,2件49元,是,4,7,否
7-11,成達店,2026-05-20,其他,35,是,2件49元,是,4,7,否
全聯,內湖文湖店,2026-05-19,經典原味 200ml,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,經典原味 250ml,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,經典原味 330ml,18,否,,否,,,否
全聯,內湖文湖店,2026-05-19,經典原味 350ml,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,經典原味 435ml,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,經典原味 600ml,26,是,任4瓶89元,是,4,3,否
全聯,內湖文湖店,2026-05-19,經典原味 920ml,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,經典原味 1.25L,35,否,,否,,,否
全聯,內湖文湖店,2026-05-19,經典原味 2L,45,否,,否,,,否
全聯,內湖文湖店,2026-05-19,Zero Sugar 200ml,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,Zero Sugar 330ml,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,Zero Sugar 350ml,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,Zero Sugar 600ml,26,是,任4瓶89元,是,4,2,否
全聯,內湖文湖店,2026-05-19,Zero Sugar 1.25L,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,Zero Sugar 2L,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,纖維+ 330ml,0,否,,否,,,否
全聯,內湖文湖店,2026-05-19,纖維+ 600ml,28,否,,否,,,否
全聯,內湖文湖店,2026-05-19,其他,0,否,,否,,,否
7-11,成達店,2026-05-20,草莓口味 600ml,35,是,2件49元,是,4,7,否
家樂福,三峽北大店,2026-05-24,經典原味 330ml,20,否,,是,1,4,否
家樂福,三峽北大店,2026-05-24,經典原味 600ml,28,否,,是,2,4,否
家樂福,三峽北大店,2026-05-24,經典原味 1.25L,39,是,$35,是,4,4,否
家樂福,三峽北大店,2026-05-24,經典原味 2L,50,是,45,否,,,否
家樂福,三峽北大店,2026-05-24,Zero Sugar 330ml,20,否,,是,1,4,否
家樂福,三峽北大店,2026-05-24,Zero Sugar 600ml,28,否,,是,2,4,否
家樂福,三峽北大店,2026-05-24,Zero Sugar 1.25L,39,是,35,是,4,4,否
家樂福,三峽北大店,2026-05-24,Zero Sugar 2L,50,是,45,否,,,否
家樂福,三峽北大店,2026-05-24,原味600ml*4,89,是,,否,,,否
家樂福,三峽北大店,2026-05-24,纖維600ml*4,112,是,,否,,,否
家樂福,三峽北大店,2026-05-24,原味330ml*6,85,是,,否,,,否
家樂福,三峽北大店,2026-05-24,原味330ml*24,336,是,,否,,,否
家樂福,三峽北大店,2026-05-24,原味迷你罐200ml*8,109,是,,否,,,否
家樂福,三峽北大店,2026-05-24,原味250ml*24,259,否,,否,,,否
家樂福,三峽北大店,2026-05-24,Zero 330ml*24,336,是,,否,,,否
全家,逸鑫,2026-05-24,經典原味 330ml,25,否,,是,4,7,否
全家,逸鑫,2026-05-24,經典原味 600ml,35,是,同品牌任選兩件49元,是,4,7,否
全家,逸鑫,2026-05-24,經典原味 2L,60,否,,是,7,7,否
全家,逸鑫,2026-05-24,Zero Sugar 330ml,25,否,,是,4,7,否
全家,逸鑫,2026-05-24,Zero Sugar 600ml,35,是,同品牌任選兩件49元,是,4,7,否
全家,逸鑫,2026-05-24,纖維+ 600ml,35,是,同品牌任選兩件49元,是,4,7,否
全家,逸鑫,2026-05-24,水蜜桃口味600ml,35,是,同品牌任選兩件49元,是,4,7,否
